job tile,company name,location,job skills,links,salary
Senior Electrical BIM Technical Office,Samman  Engineering & Consulting -,"Giza, Egypt ",Full TimeOn-siteExperienced · 7 - 10 Yrs of Exp · Engineering - Mechanical/Electrical · AutoCAD · Communication · BIM · Design · Electrical · Electrical Engineering · Engineering · Microsoft Office · MEP,https://wuzzuf.net/jobs/p/FWp5i83zc9p3-Senior-Electrical-BIM-Technical-Office-Samman-Engineering-Consulting-Giza-Egypt,Not Available
Business Analyst,Etqan Consultancy -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Analyst · Analysis · Computer Science · Data Analysis · Data Analyst · Information Technology (IT) · SQL · Data,https://wuzzuf.net/jobs/p/hNNS47WR4tvo-Business-Analyst-Etqan-Consultancy-Cairo-Egypt,Not Available
Deputy Chief Investment Officer (CIO),Puffy -,"Dubai, United Arab Emirates ",Full TimeManager · Accounting/Finance · Operations/Management · C-Level Executive/GM/Director · finance · accounting · financial management · financial analysis · management · financial · commerce,https://wuzzuf.net/jobs/p/g/j7vqixj8vwhf-deputy-chief-investment-officer-cio-puffy-dubai-united-arab-emirates,Not Available
Infrastructure Security Engineer - HSM & PKI,"Help AG, an e& enterprise company -","Dubai, United Arab Emirates ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Security · Computer Engineering · Networking · CCNA,https://wuzzuf.net/jobs/p/g/ky9b9zyl6vgq-infrastructure-security-engineer---hsm-pki-help-ag-an-e-enterprise-company-dubai-united-arab-emirates,Not Available
Production Support Engineer - Investment Banking Domain,Leuwint Technologies -,"Riyadh, Saudi Arabia ",Full TimeEntry Level · IT/Software Development · Manufacturing/Production · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Computer Science · Production · Technical Support · Mechanical Engineering · Customer Service,https://wuzzuf.net/jobs/p/g/vwvrqvmtpvsy-production-support-engineer---investment-banking-domain-leuwint-technologies-riyadh-saudi-arabia,Not Available
Ubuntu Sales Engineer (Entry-Level),Canonical -,"Makkah, Saudi Arabia ",Full TimeEntry Level · Sales/Retail · Engineering - Mechanical/Electrical · Engineering - Other · Sales · Sales Skills · Engineering · Sales Target · Electrical Engineering · Mechanical Engineering · Customer Service,https://wuzzuf.net/jobs/p/g/4mg5VmXXEwDN-Ubuntu-Sales-Engineer-Entry-Level-Canonical-Makkah-Saudi-Arabia,Not Available
Cisco Network Engineer,Info Resume Edge - GCC -,"Dubai, United Arab Emirates ",Full TimeExperienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Cisco · Networking · CCNA · Networks,https://wuzzuf.net/jobs/p/g/5J8TpdaEM7sE-Cisco-Network-Engineer-Info-Resume-Edge---GCC-Dubai-United-Arab-Emirates,Not Available
Full Stack Engineer,Open Innovation AI -,"Dubai, United Arab Emirates ",Full TimeExperienced · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · Full Stack · CSS · HTML,https://wuzzuf.net/jobs/p/g/lG6DzXP8tpuH-Full-Stack-Engineer-Open-Innovation-AI-Dubai-United-Arab-Emirates,Not Available
Sr. Engineer - ML Platform,talabat -,"Dubai, United Arab Emirates ",Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Development · Software Engineering · SRS · Software,https://wuzzuf.net/jobs/p/g/yvNejhmtDc59-Sr-Engineer---ML-Platform-talabat-Dubai-United-Arab-Emirates,Not Available
Sr. Manager Data Science - Growth,talabat -,"Dubai, United Arab Emirates ",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Engineering · Computer Science · Project Management · Telecommunication · Data Science · Microsoft Office,https://wuzzuf.net/jobs/p/g/XHyTfEIZLZJ0-Sr-Manager-Data-Science---Growth-talabat-Dubai-United-Arab-Emirates,Not Available
Manager - Retail Media Insights,talabat -,"Dubai, United Arab Emirates ",Full TimeExperienced · Administration · Operations/Management · Sales/Retail · Microsoft Office · Sales · Administration · Management · Sales Skills · Office Management · Customer Service,https://wuzzuf.net/jobs/p/g/XRwIfWpSj9A5-Manager---Retail-Media-Insights-talabat-Dubai-United-Arab-Emirates,Not Available
"Solutions Architect, Startups",The Rundown AI -,"Dubai, United Arab Emirates ",Full TimeExperienced · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Software Engineering · Computer Engineering · Software Development · Solution Architecture,https://wuzzuf.net/jobs/p/g/b6sOJgOfhSNW-Solutions-Architect-Startups-The-Rundown-AI-Dubai-United-Arab-Emirates,Not Available
Business Research Analyst,Burjline Builders -,"Dubai, United Arab Emirates ",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Research · Software,https://wuzzuf.net/jobs/p/g/XVHKB7gAulD3-Business-Research-Analyst-Burjline-Builders-Dubai-United-Arab-Emirates,Not Available
Payment Gateway Developer,Burjline Builders -,"Dubai, United Arab Emirates ",Full TimeEntry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Development · Computer Science · Information Technology (IT) · Computer Engineering · JSON · PHP · Angular,https://wuzzuf.net/jobs/p/g/sB1j97WlUSDG-Payment-Gateway-Developer-Burjline-Builders-Dubai-United-Arab-Emirates,Not Available
Software Engineer - L3 Support,Canonical -,"Riyadh, Saudi Arabia ",Full TimeEntry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software,https://wuzzuf.net/jobs/p/g/2Ts6ed55tHyG-Software-Engineer---L3-Support-Canonical-Riyadh-Saudi-Arabia,Not Available
Software Support Engineer,Canonical -,"Makkah, Saudi Arabia ",Full TimeEntry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Engineering · Engineering · Software Development · Technical Support · Software,https://wuzzuf.net/jobs/p/g/OhRqB3lMOU5G-Software-Support-Engineer-Canonical-Makkah-Saudi-Arabia,Not Available
Software Maintenance Engineer,Canonical -,"Riyadh, Saudi Arabia ",Full TimeEntry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Maintenance · Software Engineering · Software Development · Software,https://wuzzuf.net/jobs/p/g/ETXqDn0GiaAQ-Software-Maintenance-Engineer-Canonical-Riyadh-Saudi-Arabia,Not Available
Software Engineering Manager - Sustaining Engineering,Canonical -,"Riyadh, Saudi Arabia ",Full TimeExperienced · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Engineering · Software · Computer Engineering,https://wuzzuf.net/jobs/p/g/8UGemkjAxNjN-Software-Engineering-Manager---Sustaining-Engineering-Canonical-Riyadh-Saudi-Arabia,Not Available
Technical Lead,Royal Class -,"Dubai, United Arab Emirates ",Full TimeExperienced · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Computer Engineering · Engineering · Java · Software Engineering,https://wuzzuf.net/jobs/p/g/uJ8VQGQLyuku-Technical-Lead-Royal-Class-Dubai-United-Arab-Emirates,Not Available
